NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT06,WT11
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-21,,,,,0.63,8.0,116.0,40.0,16.0,20.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-22,,,,,0.6,8.0,118.0,30.0,12.0,17.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-23,,,,,0.0,0.0,115.0,31.0,13.0,15.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-24,,,,,0.0,0.0,114.0,30.0,14.0,18.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-25,,,,,0.43,7.0,119.0,30.0,10.0,14.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-26,,,,,0.14,2.0,118.0,27.0,2.0,10.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-27,,,,,0.0,0.0,116.0,31.0,10.0,19.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-28,,,,,0.9,12.0,126.0,21.0,10.0,15.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-29,,,,,0.0,0.0,120.0,28.0,11.0,14.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-30,,,,,0.0,0.0,120.0,34.0,10.0,12.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-31,,,,,1.14,13.0,126.0,27.0,2.0,4.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-04-01,,,,,0.0,0.0,120.0,31.0,3.0,10.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-04-02,,,,,0.0,0.0,119.0,34.0,8.0,11.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-04-03,,,,,0.0,0.0,118.0,27.0,9.0,17.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-04-04,,,,,0.0,0.0,118.0,37.0,17.0,28.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-04-05,,,,,0.0,0.0,116.0,40.0,27.0,29.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-04-06,,,,,0.6,5.0,118.0,36.0,22.0,26.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-04-07,,,,,1.06,10.0,125.0,30.0,12.0,12.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-04-08,,,,,0.63,7.0,124.0,19.0,12.0,17.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-04-09,,,,,0.0,0.0,120.0,36.0,16.0,30.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-04-10,,,,,0.0,0.0,118.0,41.0,23.0,25.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-04-11,,,,,0.24,5.0,123.0,27.0,15.0,15.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-04-12,,,,,0.0,0.0,118.0,28.0,13.0,22.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-04-13,,,,,0.0,0.0,117.0,34.0,13.0,24.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-04-14,,,,,0.0,0.0,116.0,39.0,24.0,26.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-04-15,,,,,0.0,0.0,114.0,44.0,26.0,31.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-04-16,,,,,0.0,0.0,113.0,46.0,24.0,26.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-04-17,,,,,0.0,0.0,113.0,46.0,26.0,32.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-04-18,,,,,0.0,0.0,109.0,54.0,32.0,36.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-04-19,,,,,0.0,0.0,105.0,55.0,36.0,38.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-04-20,,,,,0.0,0.0,102.0,59.0,39.0,42.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-04-21,,,,,0.0,0.0,100.0,58.0,42.0,45.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-04-22,,,,,0.0,0.0,98.0,52.0,37.0,39.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-04-23,,,,,0.0,0.0,96.0,47.0,33.0,34.0,,,,,,
